Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUF30007	US	Bomberman '94 (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30007_00/uaHYyreBQJkuzlSTxhnixdySKDLzKIFuvXLhwlROPOGDCLHnQNozvrurbzgVpCVYYuVinhZoyMRskNDMhMgAfRJWzDSBCeOxOuztO.pkg		UP0555-NPUF30007_00-BOMBERMAN940EH01	2021-04-23 02:52:02		18664652	b4d36c61f83c75a9506345059a7588724abc64ff8c9ede831f3bbd36c785e725
NPUF30008	US	Alien Crush (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30008_00/IXqLdAjXxARjwkNbmgIikLMUYbgIDsGOEUjinINtMrSMrztIpQAUiVblqECEdFyobYWfEmbuhqwciDHVZHoBcchOwXYIQcTpKicBk.pkg		UP0555-NPUF30008_00-ALIENCRUSH00EH20	2021-04-26 03:28:10		17406361	d39b1ea12d5a13962fe14de111d535f7de1ec680bdd249880f1ec9fd9ac05804
NPUF30009	US	Neutopia (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30009_00/OCobyAqLHReWdwbfJFEgZGkNBMnJyiUMXoupRigBDYzsHVurzimIJDDXWqrCPNVQncEQtMwVWsPbiLjvgFCRcsdruGDcUOcKmdQMy.pkg		UP0555-NPUF30009_00-NEUTOPIA0000EH28	2021-04-23 02:52:02		14994636	d032ca0c064fb5e14eeac105c8c7318b39decf27eeac8ba2e3a4a58292e48545
NPUF30010	US	Super Star Soldier (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30010_00/TTQxkKBrSQqVnlrFPItyMtpfbvdFutKTFSSFuMXxFSXFzYNZmwClRvdSptWzIQiKsdWncQGYUCCPnvJiIoeyDdHMIioTQlFiEVQoq.pkg		UP0555-NPUF30010_00-SUPERSTARSOLEH06	2021-04-23 02:52:02		14365491	0129cff66d0f1981e0bc03dab5a7cec7b17bac7ddb81e06d4a659a608a16123c
NPUF30011	US	Dungeon Explorer (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30011_00/ZnqPARnnDNpniKtnPEhIpOAWepjDAKxiJKpQqJpCPdUmWLzLxlWNrtpZbcelzUSnAdgkYwxNysfhbNQCbQqrCghaSCffwkNuzdzyJ.pkg		UP0555-NPUF30011_00-DUNGEONEXPLOEH07	2021-04-23 02:52:02		17720934	cedfad4ac8213c8b9f04c9c2d9c14cf597d544b00bd58d4c1312c4187ff2945f
NPUF30012	US	Bonk's Adventure (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30012_00/ykqLwcBQDJeITirKphHHefyJkayMviiFzplfMiGJCxWOeAvGGamGxPCKRsMPzEZAyeDMRnMUgEgwHguFaICKiwzUxustYyjjKadnW.pkg		UP0555-NPUF30012_00-PCGENJIN0000EH15	2021-04-18 00:09:46		13526630	f607972fa9321c8559c58b544721001c8d07098887c28873f729932a1ae68cd4
NPUF30013	US	World Sports Competition (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30013_00/TnTFfNxkbcWHlyqYUiqvnTKAOuZDKfdxWmEubNUaWTdYAaHONXjuXqnRrnMcGKbwBFfQwSHVlvsiBZlQGeefKchQDbvOFFigbkBEx.pkg		UP0555-NPUF30013_00-POWERSPORTS0EH11	2017-10-30 15:53:52		29255270	aecafb7018db55bb5be768e65013c48a5f50f7794814c9fbe565dbe4376f707e
NPUF30014	US	New Adventure Island (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30014_00/wxDFouDgynIpTcVjOTGikvMZYURDKNHupaVYRNqLGqFMNDnJeNPEzjmxkUqpSvUiaziyDjUptVxNCoZuRjAguCLnVoDNvjtGOBJHl.pkg		UP0555-NPUF30014_00-BOUKENJIMA00EH04	2021-04-23 02:52:02		14575206	fddcad4c86b5054b7d8c6efd48f315b82c6adac1235d0c209e1ff0ae12092328
NPUF30016	US	Soldier Blade (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30016_00/xfnaRtlWhoHcaKlHzMMKoEPcJCUheFkUrNvCISEBfvTzEhojBfZhHuTcgRkwGIlQQSDCtIOGyhxeNilGEvuRRxKUozcECdDbPHAKZ.pkg		UP0555-NPUF30016_00-SOLDIERBLADEEH24	2017-10-30 15:53:52		15099494	aee9a96a6c5d41c2548eef92f65a53614670a2c5dc5a7722dafc1344b65d864c
NPUG30015	US	Groovin' Blocks	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30015_00/PrWQ22YtuciwBoWdvHUDV7mouN4j2lWYyMstJQs07kOl8FsES3ubd9tErVqKuvwY6DEoSrAQpytpUHAV0CsWtihKw0X9qdE1i5pxX.pkg		UP0017-NPUG30015_00-0000111122223333	2017-10-30 15:53:52		46032486	4ffd6cc5bb8daf348ea0d8d5d032b3a4df88030b09a0064f6e163177518f6000
