Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB00113	EU	Call of Duty Classic French Version	http://zeus.dl.playstation.net/cdn/EP0002/NPEB00113_00/SNhRkR6CwU5mHbsD6eeliocSFWu971vOE5MAMEtl59UKYDh6TQlPTgymBjkD1SK5JMEtdVWKm9AfxbUKNdHyeWovrXa9n48cKsv7r.pkg		EP0002-NPEB00113_00-CALLOFDUTYCLSCFR	2018-02-17 01:59:45		987968307	
NPJJ00137	JP	Money Idol Exchanger (PSX)	http://zeus.dl.playstation.net/cdn/JP0035/NPJJ00137_00/PEDAwjqmIiarRsPYMveeDeFAayGxTauBVPHjvmjLJxyhlYzuQHdOpTrJnrZghYGSPDKCtXRNJAwFaKLAgAusuLcuALWRbPbBRzyQy.pkg		JP0035-NPJJ00137_00-0000000000000001	2017-12-03 00:56:26		82103500	
NPJJ00277	JP	GaiaSeed: Project Seed Trap (PSX)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00277_00/8KWsoeW9X64xk8ThcL82PAYJ8axMGDsTHytC6rS99nS5jDJivjwdFoYAECw0vYjS34ho5d4PSc4d2y2D7nUo5qlfAMaJlB8GrJlTM.pkg		JP0571-NPJJ00277_00-0000000000000001	2018-01-30 03:13:48		66689433	
NPUA30002	US	Bejeweled 2	http://ares.dl.playstation.net/cdn/UP0017/NPUA30002_00/Jtjh2BLj2lxls0no6QHRYAObnFH1O0fx3fMopA51KWAxNvCgyId4ca9TICIJYOcud74Tj35aevkqpfpSn6Hbxjl1YcTgkgD9G80oh.pkg		UP0017-NPUA30002_00-BEJEWELEDGAMEPS3	2018-02-06 20:03:40		23383244	
NPUA30003	US	Zuma	http://ares.dl.playstation.net/cdn/UP0017/NPUA30003_00/ioK4HQEme7gxPUvRL2GdkKcQ22m8NSbH18wyykhfRciOKfcS3wRbg8wDi5mV55RqLthom20FQkQoMj2bdmlYMABmssDfnsbDMVP9s.pkg		UP0017-NPUA30003_00-ZUMAGAMEPS300000	2018-02-06 20:03:40		19818086	
NPUA30004	US	Heavy Weapon	http://ares.dl.playstation.net/cdn/UP0017/NPUA30004_00/eQ7YSLGmnAtPjIK2dwegwljRQmluoDNe24dahUBfyilXFs3DH18JShMVgLf6571SP456vbObEyn5UwT2no3bhX2kT4JJ57VL711Rl.pkg		UP0017-NPUA30004_00-HEAVYWEAPONPS300	2018-02-06 20:03:47		49702502	
NPUA30005	US	Peggle	http://ares.dl.playstation.net/cdn/UP0017/NPUA30005_00/NH9yQ2O2tBxGWmvArip9Cc8TEHdulfrSo5VMOnbdb3lWNVM29uC8pmfkVjjyaI51NOPhdHLAk2ysque8sJd9DeCa0gPdQxqoAhQgB.pkg		UP0017-NPUA30005_00-PEGGLEGAMEPS3000	2018-02-06 20:03:54		107059609	
NPUA30006	US	Feeding Frenzy 2	http://ares.dl.playstation.net/cdn/UP0017/NPUA30006_00/bvlXEi5JR1VWGth0W6muNSsnVDefNBwYV6qvYslgCXStPjV4eXXm8vFc2RWRr2tgEfnMxeMQudai7hSqSQeC7omWDJUKnwDaYka7H.pkg		UP0017-NPUA30006_00-FEEDINGFRENZYPS3	2018-02-06 20:03:58		58615398	
NPUA30013	US	Switchball	http://zeus.dl.playstation.net/cdn/UP0017/NPUA30013_00/jb3vKOF8tw3wfUIePyVQvmhswRRjH8fKMFbDfh7DAS53QlpVCoa9tuLYscxGBBPgpr435MsRM6laTT9Ri2GQaaMRMOCKgBNi26aw7.pkg		UP0017-NPUA30013_00-SWITCHBALL000001	2018-02-26 03:03:21		203633459	
NPUA30014	US	Groovin Blocks	http://zeus.dl.playstation.net/cdn/UP0017/NPUA30014_00/iSOgSAnUJA5PEjhff1DdN1cUGg8kReh21PlW2BwS4QrY77GBFNxoGkAuwkeyeGfYQUm8Mfekb41j7xeAygKeohwIvPUMTBwgLDa0s.pkg		UP0017-NPUA30014_00-GBPS3GAME0000000	2017-11-28 02:21:05		188638822	
NPUA30016	US	Revenge of the Wounded Dragons	http://zeus.dl.playstation.net/cdn/UP0017/NPUA30016_00/MIBXvTAVObJyihbQEMCEQfg0j33ha2mlFOhQ7s10iYPAKfbvAtlRq2FdMqgNa4AN2CwFyHUngykprfRLI20Ww5SvcUj2Ok6cfHYae.pkg		UP0017-NPUA30016_00-WOUNDEDDRAGONS00	2017-11-28 02:21:05		123941683	
NPUA30029	US	Gundemonium Recollection	http://zeus.dl.playstation.net/cdn/UP0017/NPUA30029_00/qitGLvLDArHM3sHKbmVHIiIQRmlGdQteqOKBWAmwTntHEbkEWNuuKum1CyaQVGdvOnXbXDJBM9Nmt9iNRXuvaxuRtuXnIoVI5cPdA.pkg		UP0017-NPUA30029_00-GUNDRECOLLECTION	2017-11-28 02:21:05		299473305	
