Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
PCSA00039	US	Unit 13 (DEMO)	http://ares.dl.playstation.net/cdn/UP9000/PCSA00039_00/LkeyttGDEDtfUpffLHmKIMVTGViocbmmYjrsiZEsbDiYAtuDyFYbOLpgvayRmztBgOdxkKJzBJCYrIQbWRTkDbyDbaOKXwqdfvPxn.pkg		UP9000-PCSA00039_00-ZIPPERUNIT13DEMO	2018-07-24 19:07:28		885103001	25872ca29dab8cbcec1607df96f6b180e54db0a54b0beaf2b6099cf2a3cbad9f
PCSA00091	US	Sly Cooper: Thieves in Time (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00091_00/tIwqWqlMUfILcizwezGvTpUDcFCtGMVwcuKVXAJlKTKvuFQAumiNEEWsUJAZGLebSPLaZVTvpcBQwvpZmkowuTCCdNDzBbWEEXmKs.pkg		UP9000-PCSA00091_00-SLYPROLOGUEDEMO0	2018-06-05 12:04:46		784125132	a88c2d4a171eb55a081071ab52e0519509b1a1a448a141e22367e7fb1289b581
PCSA00093	US	Soul Sacrifice (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00093_00/cRAqlCQUxRpQjsGUrFsEnCMlApkzFTUsWIYjhGMBMWVmUVwRMhsDNNayXqkUNJAzcoQjAUBOSMadzpTNkDFuZzZsBdXwezlHoICUp.pkg		UP9000-PCSA00093_00-SOULSACTRIALUS00	2018-06-05 12:04:58		1288490188	5bcbb2c4ddb0c55ff672eb52b56f1d5d3c15f0161a168fee761b80772761346a
PCSA00094	US	Sound Shapes (DEMO)	http://ares.dl.playstation.net/cdn/UP9000/PCSA00094_00/LxXyktKyWRmlALPjqlugGBeAyNzUBvmliWJCpnocfnsYFwWvTAFsnoPgxvgrNsfUHAxHAtxsgbaIKpvDTsoAiAavaueWqtRCaOWMl.pkg		UP9000-PCSA00094_00-SOUNDSHAPES00000	2018-06-05 12:04:46		563399884	e8b0f28ac73279fc3b010c8f97c84fb5e9bab167f026bc5fde173bf9faba4a07
PCSA00120	US	Killzone: Mercenary Public Beta (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00120_00/lDCHWMjhvaoxCjJjizXrCfahgAJIbQGnMrfMqgfqCntatrBCnaoRSnTbIIRnzJdrnHPoaYsNZuFEakVdMAhrlklLaOrpErQEciAkW.pkg		UP9000-PCSA00120_00-KZMPHASE3BETA000	2018-06-08 17:19:08		956930457	69d27ad3dc13ca4e3c427af6bad013aa64588dd92d0dd0e2c11dd1453e9e3d8a
PCSE00055	US	EA Sports FIFA Soccer (DEMO)	http://ares.dl.playstation.net/cdn/UP0006/PCSE00055_00/OwFONIoZtfBSPkxcbrnOmPTXxgEWCFKzkhzlhtijWAjZJKMWWoqXwtnVuaprIiYJnnCFEwLZOStidjRGGCXDuiVQulzDyANKcZKzQ.pkg		UP0006-PCSE00055_00-FIFAVITA20120001	2018-06-05 12:04:46		1717986918	93ae361183c7886cd468cad1873099eda8d4ce52457438482e4353a047be2fa0
PCSE00069	US	Dynasty Warriors Next (DEMO)	http://ares.dl.playstation.net/cdn/UP4108/PCSE00069_00/KRORJLIuBYnuqwQYJFbHFojtLMjjmnrVhgERgkZtMoBcbBlFrFFsGeZsxDiJFklBiOxxFGiMbbpAxBYEbVdpmOBNPIwmfAVrcrSUp.pkg		UP4108-PCSE00069_00-DWNEXTDEMO000001	2018-08-06 23:22:46		223451545	250e59e6adec66524687880c8e22f7bff576ac1d5b21210d097ff9c035ab0bfd
PCSE00072	US	Touch My Katamari (DEMO)	http://ares.dl.playstation.net/cdn/UP0700/PCSE00072_00/HGVCtWIjtfsVrZeJrtyzbpAKyiLMWcxuUFbxGKFQwjqlOnHUsgXpVfGAkDVXwXQfefWAetUeRvTMQevmijaunSRGBKbhLswtupWLI.pkg		UP0700-PCSE00072_00-KATAMARIDAMACY00	2018-06-05 12:04:46		103075020	8b323053a2633bfcd9f3c5b84fe2e2842e74278b0453892ef64d2cff7c62f249
PCSE00076	US	Shinobido 2: Revenge of Zen (DEMO)	http://ares.dl.playstation.net/cdn/UP0700/PCSE00076_00/OsoVmTGTHESKbIfjVkpmQNYWRrznRJGfNVEFaclWJHerSJLTvPYbniHCfeIxcelgQWQmUuLRMcJIbqDqSfQkMZCucYyrgprVuugEC.pkg		UP0700-PCSE00076_00-APP0000000000000	2019-10-30 12:10:54		249875660	8513f11a1b402b864f80fae36f12293b09ca200ba3bc4180d5187c6addfc7455
PCSE00121	US	Silent Hill: Book of Memories (DEMO)	http://ares.dl.playstation.net/cdn/UP0101/PCSE00121_00/AZFURJcIlbxbrbjLwclTjsHJzidPaZMvRaOdCbjYtoXAXaGHBClwgbetBhTHesJP.pkg		UP0101-PCSE00121_00-SILENTHILLBMDEMO	2018-06-05 12:04:46		578289664	fbb557bee2f362dd7a57c5f419bab925f15684c5f9ac167db7c443d7b1f50178
PCSE00146	US	Ragnarok Odyssey (DEMO)	http://ares.dl.playstation.net/cdn/UP1023/PCSE00146_00/SzZlKlKaKJHrKSlclluzSUTWLNxPFCpqjoXqwzEbLxpEfGFIiveHxVHUZxxEVWhr.pkg		UP1023-PCSE00146_00-APP0000000000000	2018-06-05 12:04:46		270847180	0549380b36ae4b3099c31d012d92e9aa4441007ad485eee7daa0ae9a078eeae0
PCSE00207	US	Zero Escape: Virtue's Last Reward (DEMO)	http://ares.dl.playstation.net/cdn/UP1024/PCSE00207_00/IiEyMRGvoRadpZhVxFatLVzpbDmoDuISRlXqdNItyyRpYoFqaRWPvgwKOzdEjjey.pkg		UP1024-PCSE00207_00-ZEVIRTUESLASTREW	2018-06-05 12:04:46		137573171	b0d34b743403451b57ec3de15376fe8582ff88558930164278d228ee10a2803b
PCSE00211	US	Sonic & All-Stars Racing Transformed (DEMO)	http://ares.dl.playstation.net/cdn/UP0177/PCSE00211_00/EQCeCFytxQjfHFjBoIvNRJZeNroBtePNGxJthUYWOdtHWNiKDBElexHdIAbJmkQw.pkg		UP0177-PCSE00211_00-SASRTRNSFRMDDEMO	2018-06-08 17:19:08		593284300	ce684460e8cee171fe456f654436a8d96c2d975361351d3c134732e383590c73
